experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
vdp_hjb,gelu_b0_25,"42,43,44,45,46",5,h1,1.0,0.19558135302372193,0.0,0.20784801351689217,0.01226666049317024,6.2718967342875604,0->0.01,0.010968570027157953,0:0.207848; 0.01:0.196879; 0.1:0.195984; 1:0.195581; 10:0.197253
vdp_hjb,gelu_b0_25,"42,43,44,45,46",5,neurons,0.0,48.8,0.1,55.6,6.800000000000004,13.934426229508206,0.01->0.1,4.399999999999999,0:48.8; 0.01:51.2; 0.1:55.6; 1:53; 10:50.6
vdp_hjb,gelu_b0_25,"42,43,44,45,46",5,score,10.0,9.991364769437912,0.1,10.907303837104607,0.9159390676666952,9.167306857501746,0.01->0.1,0.8313008257374346,0:10.1025; 0.01:10.076; 0.1:10.9073; 1:10.3716; 10:9.99136
vdp_hjb,mish_b0_15,"42,43,44,45,46",5,h1,10.0,0.20500660395203216,0.01,0.21145321222343852,0.006446608271406362,3.1445856607208382,0.1->1,0.0033141248769471554,0:0.208804; 0.01:0.211453; 0.1:0.210994; 1:0.207679; 10:0.205007
vdp_hjb,mish_b0_15,"42,43,44,45,46",5,neurons,10.0,41.8,0.0,47.0,5.200000000000003,12.440191387559816,0->0.01,3.0,0:47; 0.01:44; 0.1:42; 1:43.2; 10:41.8
vdp_hjb,mish_b0_15,"42,43,44,45,46",5,score,10.0,8.426011848342007,0.0,9.687758580372433,1.261746732030426,14.974423899946224,0.01->0.1,0.508649923474989,0:9.68776; 0.01:9.29816; 0.1:8.78951; 1:8.83642; 10:8.42601
vdp_hjb,relu,"42,43,44,45,46",5,h1,0.01,0.22426187202315753,0.0,0.30017423256418607,0.07591236054102854,33.84987374634496,0->0.01,0.07591236054102854,0:0.300174; 0.01:0.224262; 0.1:0.246777; 1:0.239502; 10:0.23073
vdp_hjb,relu,"42,43,44,45,46",5,neurons,0.0,107.8,0.1,127.0,19.200000000000003,17.810760667903526,0->0.01,18.60000000000001,0:107.8; 0.01:126.4; 0.1:127; 1:121.4; 10:122.2
vdp_hjb,relu,"42,43,44,45,46",5,score,10.0,28.177232078787043,0.0,32.380224573485116,4.202992494698073,14.916271701017273,0->0.01,3.9775817446573036,0:32.3802; 0.01:28.4026; 0.1:31.309; 1:29.0817; 10:28.1772
vdp_hjb,smoothy_relu_w0_25,"42,43,44,45,46",5,h1,0.01,0.18997184216619806,0.1,0.3374465144027546,0.14747467223655653,77.62975320707655,0.01->0.1,0.14747467223655653,0:0.25324; 0.01:0.189972; 0.1:0.337447; 1:0.200793; 10:0.206335
vdp_hjb,smoothy_relu_w0_25,"42,43,44,45,46",5,neurons,0.0,140.2,10.0,142.0,1.8000000000000114,1.283880171184031,0->0.01,1.0,0:140.2; 0.01:141.2; 0.1:141.2; 1:141.8; 10:142
vdp_hjb,smoothy_relu_w0_25,"42,43,44,45,46",5,score,0.01,26.96788603616067,0.1,47.78861252758671,20.820726491426036,77.20563066570351,0.01->0.1,20.820726491426036,0:35.484; 0.01:26.9679; 0.1:47.7886; 1:28.5687; 10:29.3056
vdp_hjb,softplus_b0_1,"42,43,44,45,46",5,h1,0.1,0.2033851439214266,1.0,0.24135528332794384,0.03797013940651725,18.66908205507192,0.1->1,0.03797013940651725,0:0.210873; 0.01:0.208841; 0.1:0.203385; 1:0.241355; 10:0.210292
vdp_hjb,softplus_b0_1,"42,43,44,45,46",5,neurons,1.0,30.8,0.0,43.4,12.599999999999998,40.9090909090909,0.1->1,11.2,0:43.4; 0.01:38.8; 0.1:42; 1:30.8; 10:39
vdp_hjb,softplus_b0_1,"42,43,44,45,46",5,score,1.0,6.926457292997639,0.0,9.110967375733503,2.1845100827358648,31.538634980747144,0.1->1,1.5961378439401424,0:9.11097; 0.01:8.08736; 0.1:8.5226; 1:6.92646; 10:8.15643
vdp_hjb,softplus_b0_15,"42,43,44,45,46",5,h1,10.0,0.2330209391585815,0.0,0.24969217342248823,0.016671234263906737,7.154393216380092,0->0.01,0.011007108675944233,0:0.249692; 0.01:0.238685; 0.1:0.246076; 1:0.23795; 10:0.233021
vdp_hjb,softplus_b0_15,"42,43,44,45,46",5,neurons,0.01,31.6,10.0,32.8,1.1999999999999957,3.797468354430366,1->10,1.1999999999999957,0:32.6; 0.01:31.6; 0.1:31.6; 1:31.6; 10:32.8
vdp_hjb,softplus_b0_15,"42,43,44,45,46",5,score,0.01,7.214930871993761,0.0,7.814407233493229,0.5994763614994687,8.308830287292974,0->0.01,0.5994763614994687,0:7.81441; 0.01:7.21493; 0.1:7.46863; 1:7.22547; 10:7.30814
vdp_hjb,softplus_b0_25,"42,43,44,45,46",5,h1,1.0,0.2933452778460298,0.01,0.3112790846673117,0.017933806821281872,6.113548836703932,1->10,0.01713014518099204,0:0.303127; 0.01:0.311279; 0.1:0.309218; 1:0.293345; 10:0.310475
vdp_hjb,softplus_b0_25,"42,43,44,45,46",5,neurons,0.1,23.0,0.0,27.8,4.800000000000001,20.869565217391308,0->0.01,3.6000000000000014,0:27.8; 0.01:24.2; 0.1:23; 1:23; 10:23.4
vdp_hjb,softplus_b0_25,"42,43,44,45,46",5,score,1.0,6.71486274469404,0.0,8.21410672239187,1.4992439776978301,22.327246806087064,0->0.01,0.7375855363402248,0:8.21411; 0.01:7.47652; 0.1:7.09394; 1:6.71486; 10:7.22297
vdp_hjb,softplus_b0_5,"42,43,44,45,46",5,h1,0.01,0.2314477338924138,0.0,0.2595351463575856,0.028087412465171824,12.135531419040802,0->0.01,0.028087412465171824,0:0.259535; 0.01:0.231448; 0.1:0.252314; 1:0.243663; 10:0.247576
vdp_hjb,softplus_b0_5,"42,43,44,45,46",5,neurons,0.01,44.8,10.0,49.2,4.400000000000006,9.821428571428585,1->10,3.8000000000000043,0:45.8; 0.01:44.8; 0.1:46.6; 1:45.4; 10:49.2
vdp_hjb,softplus_b0_5,"42,43,44,45,46",5,score,0.01,10.00849950838461,10.0,11.530232034283348,1.521732525898738,15.204402264534341,0->0.01,1.2516991618014472,0:11.2602; 0.01:10.0085; 0.1:11.1435; 1:10.4578; 10:11.5302
