experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
discontinuous_gradient,abs_act,"42,43,44,45,46",5,near_grad,1.0,0.18260162456276488,0.01,0.19207842465192948,0.0094768000891646,5.189877205012039,1->10,0.00857060543233465,0:0.189009; 0.01:0.192078; 0.1:0.185374; 1:0.182602; 10:0.191172
discontinuous_gradient,abs_act,"42,43,44,45,46",5,far_grad,0.1,0.054579225627726484,0.01,0.058398040211447004,0.00381881458372052,6.996828078448488,0.01->0.1,0.00381881458372052,0:0.0563018; 0.01:0.058398; 0.1:0.0545792; 1:0.0556354; 10:0.0555619
discontinuous_gradient,abs_act,"42,43,44,45,46",5,near_far_ratio,1.0,3.285055928265714,10.0,3.4383952606743513,0.1533393324086374,4.667784529610433,1->10,0.1533393324086374,0:3.35629; 0.01:3.3122; 0.1:3.39933; 1:3.28506; 10:3.4384
discontinuous_gradient,abs_act,"42,43,44,45,46",5,neurons,0.1,140.2,1.0,141.8,1.6000000000000227,1.1412268188302588,0.1->1,1.6000000000000227,0:140.8; 0.01:140.4; 0.1:140.2; 1:141.8; 10:141.6
discontinuous_gradient,abs_act,"42,43,44,45,46",5,near_score,1.0,25.90334642513768,10.0,27.065289221690932,1.1619427965532516,4.485686047983569,1->10,1.1619427965532516,0:26.5774; 0.01:26.9749; 0.1:25.9957; 1:25.9033; 10:27.0653
discontinuous_gradient,abs_act,"42,43,44,45,46",5,eval_h1,1.0,0.061645222034725104,0.01,0.06474345368739558,0.003098231652670473,5.025907199953342,0.01->0.1,0.0024827236011828596,0:0.0632663; 0.01:0.0647435; 0.1:0.0622607; 1:0.0616452; 10:0.0635708
discontinuous_gradient,asinh,"42,43,44,45,46",5,near_grad,0.01,0.5815581504714464,0.1,1.0299485951940088,0.4483904447225624,77.10156660328289,0.01->0.1,0.4483904447225624,0:0.647919; 0.01:0.581558; 0.1:1.02995; 1:0.850482; 10:0.77137
discontinuous_gradient,asinh,"42,43,44,45,46",5,far_grad,0.01,0.6302769428525569,0.1,0.8331743273034898,0.20289738445093297,32.19178279513829,0.01->0.1,0.20289738445093297,0:0.722861; 0.01:0.630277; 0.1:0.833174; 1:0.720427; 10:0.817576
discontinuous_gradient,asinh,"42,43,44,45,46",5,near_far_ratio,0.0,0.8802529769760877,0.1,1.2829682032940206,0.4027152263179329,45.749941988423714,0.01->0.1,0.3772464810553652,0:0.880253; 0.01:0.905722; 0.1:1.28297; 1:1.17001; 10:0.949349
discontinuous_gradient,asinh,"42,43,44,45,46",5,neurons,0.0,51.0,0.1,55.2,4.200000000000003,8.235294117647065,0.01->0.1,2.4000000000000057,0:51; 0.01:52.8; 0.1:55.2; 1:54; 10:55
discontinuous_gradient,asinh,"42,43,44,45,46",5,near_score,0.01,31.400085600699985,0.1,56.70066177600695,25.30057617530697,80.57486370273766,0.01->0.1,25.30057617530697,0:33.3292; 0.01:31.4001; 0.1:56.7007; 1:46.9325; 10:42.5181
discontinuous_gradient,asinh,"42,43,44,45,46",5,eval_h1,0.01,0.4466403218371752,0.1,0.6473769652316854,0.2007366433945102,44.94369038800971,0.01->0.1,0.2007366433945102,0:0.499858; 0.01:0.44664; 0.1:0.647377; 1:0.537045; 10:0.56875
discontinuous_gradient,atan,"42,43,44,45,46",5,near_grad,1.0,0.5158601933709448,0.01,0.5981519318541592,0.08229173848321436,15.952333508323255,0.1->1,0.07534643486833936,0:0.523354; 0.01:0.598152; 0.1:0.591207; 1:0.51586; 10:0.519823
discontinuous_gradient,atan,"42,43,44,45,46",5,far_grad,10.0,0.40584460040110054,0.1,0.6479537031498724,0.2421091027487719,59.655617571231176,0.01->0.1,0.1517240130050619,0:0.515825; 0.01:0.49623; 0.1:0.647954; 1:0.533218; 10:0.405845
discontinuous_gradient,atan,"42,43,44,45,46",5,near_far_ratio,0.1,0.8977754431752374,0.01,1.6524659288600851,0.7546904856848478,84.06227764658732,0.01->0.1,0.7546904856848478,0:1.05846; 0.01:1.65247; 0.1:0.897775; 1:0.970801; 10:1.59916
discontinuous_gradient,atan,"42,43,44,45,46",5,neurons,0.1,47.6,10.0,62.2,14.600000000000001,30.672268907563026,0.01->0.1,10.199999999999996,0:56.6; 0.01:57.8; 0.1:47.6; 1:55; 10:62.2
discontinuous_gradient,atan,"42,43,44,45,46",5,near_score,0.1,27.56782212200595,0.01,33.95436928018381,6.386547158177862,23.166672832961353,0.01->0.1,6.386547158177862,0:29.3477; 0.01:33.9544; 0.1:27.5678; 1:28.1114; 10:31.1846
discontinuous_gradient,atan,"42,43,44,45,46",5,eval_h1,10.0,0.2988153705296698,0.1,0.44168299936238076,0.14286762883271098,47.81133868029237,0.01->0.1,0.07880759899223938,0:0.358861; 0.01:0.362875; 0.1:0.441683; 1:0.364026; 10:0.298815
discontinuous_gradient,bent_id,"42,43,44,45,46",5,near_grad,0.0,0.411236661119542,0.01,0.43278415377378865,0.02154749265424666,5.239681840521276,0->0.01,0.02154749265424666,0:0.411237; 0.01:0.432784; 0.1:0.41749; 1:0.429196; 10:0.42465
discontinuous_gradient,bent_id,"42,43,44,45,46",5,far_grad,0.1,0.17396541644864352,0.01,0.1897141067636218,0.015748690314978275,9.052770738273408,0.01->0.1,0.015748690314978275,0:0.181403; 0.01:0.189714; 0.1:0.173965; 1:0.186306; 10:0.179333
discontinuous_gradient,bent_id,"42,43,44,45,46",5,near_far_ratio,0.01,2.291521880192845,0.1,2.576287293429096,0.2847654132362507,12.426912249787726,0.01->0.1,0.2847654132362507,0:2.2963; 0.01:2.29152; 0.1:2.57629; 1:2.32155; 10:2.39985
discontinuous_gradient,bent_id,"42,43,44,45,46",5,neurons,0.0,37.0,0.01,39.4,2.3999999999999986,6.486486486486482,0->0.01,2.3999999999999986,0:37; 0.01:39.4; 0.1:37.8; 1:37.4; 10:37.4
discontinuous_gradient,bent_id,"42,43,44,45,46",5,near_score,0.0,15.220711317857255,0.01,16.96876309487965,1.748051777022397,11.484691750059973,0->0.01,1.748051777022397,0:15.2207; 0.01:16.9688; 0.1:15.7064; 1:16.0849; 10:15.8675
discontinuous_gradient,bent_id,"42,43,44,45,46",5,eval_h1,0.1,0.17441440879216763,0.01,0.18617342272720241,0.011759013935034784,6.741996843303719,0.01->0.1,0.011759013935034784,0:0.179344; 0.01:0.186173; 0.1:0.174414; 1:0.182952; 10:0.179898
discontinuous_gradient,celu,"42,43,44,45,46",5,near_grad,0.1,0.25607598579482777,10.0,0.26568136851265994,0.009605382717832178,3.750989257355888,0.01->0.1,0.006377241421818058,0:0.261958; 0.01:0.262453; 0.1:0.256076; 1:0.259744; 10:0.265681
discontinuous_gradient,celu,"42,43,44,45,46",5,far_grad,0.0,0.06966526640668563,1.0,0.07659906289825531,0.00693379649156968,9.95301798042684,1->10,0.006627513164125978,0:0.0696653; 0.01:0.0724496; 0.1:0.0707454; 1:0.0765991; 10:0.0699715
discontinuous_gradient,celu,"42,43,44,45,46",5,near_far_ratio,1.0,3.417535384748687,10.0,3.858597740341878,0.44106235559319096,12.90586068432544,1->10,0.44106235559319096,0:3.76761; 0.01:3.62716; 0.1:3.64711; 1:3.41754; 10:3.8586
discontinuous_gradient,celu,"42,43,44,45,46",5,neurons,0.0,87.2,0.01,90.4,3.200000000000003,3.6697247706422047,0->0.01,3.200000000000003,0:87.2; 0.01:90.4; 0.1:88.8; 1:87.6; 10:87.4
discontinuous_gradient,celu,"42,43,44,45,46",5,near_score,1.0,22.751617102813473,0.01,23.72288092492133,0.9712638221078578,4.268988079918728,0.01->0.1,0.947399045178738,0:22.8491; 0.01:23.7229; 0.1:22.7755; 1:22.7516; 10:23.1888
discontinuous_gradient,celu,"42,43,44,45,46",5,eval_h1,0.1,0.08419152126624375,1.0,0.08725151275318623,0.0030599914869424705,3.6345601563198757,0.1->1,0.0030599914869424705,0:0.0850691; 0.01:0.0859917; 0.1:0.0841915; 1:0.0872515; 10:0.0861725
discontinuous_gradient,cubic,"42,43,44,45,46",5,near_grad,1.0,0.39355067497048063,10.0,0.39355494813391384,4.273163433210492e-06,0.0010857975109637436,1->10,4.273163433210492e-06,0:0.393552; 0.01:0.393553; 0.1:0.393554; 1:0.393551; 10:0.393555
discontinuous_gradient,cubic,"42,43,44,45,46",5,far_grad,10.0,0.11100125147105783,1.0,0.11100838001458929,7.12854353146497e-06,0.00642203888424055,1->10,7.12854353146497e-06,0:0.111007; 0.01:0.111005; 0.1:0.111002; 1:0.111008; 10:0.111001
discontinuous_gradient,cubic,"42,43,44,45,46",5,near_far_ratio,1.0,3.54523415252378,10.0,3.545500185716423,0.00026603319264273395,0.007503966767705607,1->10,0.00026603319264273395,0:3.54528; 0.01:3.54537; 0.1:3.54547; 1:3.54523; 10:3.5455
discontinuous_gradient,cubic,"42,43,44,45,46",5,neurons,10.0,19.2,0.0,35.4,16.2,84.375,0.01->0.1,11.399999999999999,0:35.4; 0.01:32; 0.1:20.6; 1:26.4; 10:19.2
