activation	seeds	mean_near_grad	std_near_grad	mean_far_grad	near_far_ratio	mean_eval_h1	mean_eval_grad	mean_neurons	mean_near_score	std_near_score	best_gamma_mode	status
leaky_relu2_a0_02_sphere	42,43,44,45,46,47,48,49,50,51	0.151223	0.003271	0.017083	8.8520	0.041791	0.059939	120.10	18.1617	0.8357	1	done
leaky_relu2_a0_025_sphere	42,43,44,45,46,47,48,49,50,51	0.151872	0.004625	0.017026	8.9199	0.041918	0.060124	120.90	18.3463	0.8610	0.01	done
leaky_relu2_a0_05_sphere	42,43,44,45,46,47,48,49,50,51	0.152113	0.002337	0.017487	8.6986	0.042039	0.060295	120.20	18.2869	0.9039	0.1	done
leaky_relu2_a0_015_sphere	42,43,44,45,46,47,48,49,50,51	0.153173	0.004042	0.017369	8.8189	0.042512	0.060974	120.10	18.3872	0.6211	1	done
leaky_relu2_a0_075_sphere	42,43,44,45,46	0.154104	0.001851	0.018078	8.5245	0.042838	0.061435	110.40	17.0111	0.1650	10	done
leaky_relu2_a0_0375_sphere	42,43,44,45,46	0.154175	0.003392	0.016034	9.6152	0.042345	0.060732	116.40	17.9478	0.9852	0.1	done
leaky_relu2_a0_0625_sphere	42,43,44,45,46	0.155306	0.002756	0.016972	9.1505	0.043023	0.061705	110.60	17.1783	0.4339	1	done
leaky_relu2_a0_1_sphere	42,43,44,45,46,47,48,49,50,51	0.155808	0.002425	0.017518	8.8944	0.043203	0.061962	110.10	17.1509	0.3418	0.1	done
leaky_relu2_sphere	42,43,44,45,46,47,48,49,50,51	0.156104	0.003910	0.018550	8.4155	0.043305	0.062108	115.20	17.9812	0.8256	10	done
leaky_relu2_a0_001_sphere	42,43,44,45,46	0.157700	0.003971	0.016759	9.4101	0.043645	0.062594	106.60	16.8124	0.5917	0.1	done
relu2	42,43,44,45,46,47,48,49,50,51	0.157911	0.004934	0.017340	9.1068	0.043606	0.062538	106.50	16.8143	0.4912	10	done
x_absx	42,43,44,45,46,47,48,49,50,51	0.164566	0.004347	0.021366	7.7024	0.045962	0.065898	128.20	21.0934	0.5520	10	done
smoothy_relu_w0_05	42,43,44,45,46	0.168244	0.009455	0.055722	3.0193	0.059038	0.083926	149.40	25.1313	1.3219	0.01	done
smoothy_relu_w0_1	42,43,44,45,46	0.168360	0.005069	0.052873	3.1842	0.059224	0.082740	147.20	24.7841	0.8570	0	done
smoothy_relu_w0_125	42,43,44,45,46	0.174805	0.005910	0.049340	3.5429	0.059851	0.082784	147.40	25.7630	0.7514	0.1	done
abs_act	42,43,44,45,46	0.177244	0.007285	0.054753	3.2371	0.060196	0.086189	142.00	25.1764	1.4375	0	done
relu	42,43,44,45,46	0.182863	0.007877	0.057389	3.1864	0.062638	0.089688	144.00	26.3192	0.9592	0	done
smoothy_relu_w0_2	42,43,44,45,46	0.184087	0.003680	0.046742	3.9384	0.061892	0.084176	148.60	27.3561	0.6614	0	done
leaky_relu	42,43,44,45,46	0.186197	0.003840	0.056432	3.2995	0.063054	0.090239	143.00	26.6214	0.8660	0	done
smooth_leaky	42,43,44,45,46	0.186778	0.005013	0.047315	3.9475	0.063295	0.085396	148.00	27.6497	1.0530	1	done
smoothy_relu_w0_25	42,43,44,45,46	0.194070	0.008270	0.047226	4.1094	0.065558	0.087947	147.60	28.6347	1.0580	10	done
smoothy_relu_sphere	42,43,44,45,46	0.198688	0.005832	0.043778	4.5385	0.070142	0.088492	146.20	29.0363	0.4955	0.1	done
smooth_relu_4	42,43,44,45,46	0.201375	0.009990	0.086495	2.3282	0.079885	0.114392	114.00	22.9503	1.0813	10	done
matern52	42,43,44,45,46	0.214069	0.008288	0.043474	4.9241	0.064951	0.092877	131.40	28.1275	1.0774	1	done
elu2_b0_5	42,43,44,45,46	0.222943	0.008986	0.039858	5.5935	0.067104	0.095531	55.20	12.3157	1.3833	10	done
snake	42,43,44,45,46	0.225550	0.006494	0.037382	6.0336	0.065406	0.093560	127.40	28.7248	1.1926	0.1	done
leaky_relu2_a0_05	42,43,44,45,46	0.228469	0.006163	0.025662	8.9029	0.064553	0.091202	66.20	15.1447	2.1691	1	done
selu	42,43,44,45,46	0.244568	0.013288	0.084808	2.8838	0.089965	0.127864	134.00	32.7551	1.4699	1	done
celu	42,43,44,45,46	0.247113	0.009077	0.069019	3.5803	0.081734	0.116715	89.00	22.0151	1.7751	0.1	done
