model	seed	status	best_gamma	best_score	best_rel_h1	best_rel_grad	best_neurons	best_C	best_near_grad_mean	best_far_grad_mean	best_near_far_grad_ratio	best_hjb_mean	best_hjb_max	elapsed_s
PDPA_v1_semiconcave	42	ok	10.0	14.628363761153555	0.1306103907245853	0.1561585146320657	112	0.5227051464378244	0.09584606543281377	0.021256426067724363	4.509039531266542	0.014994819201204719	0.35336225601815785	26.56
PDPA_v2_signed	42	ok	1.0	15.356907905173728	0.18727936469724057	0.22373950325608305	82		0.12612481780734475	0.03447196372692062	3.6587650998497807	0.020828890706761232	0.32685478264064594	65.19
PDPA_v1_semiconcave	43	ok	10.0	13.43470523403158	0.11103062176885603	0.13266814288128378	121	0.5280150708229412	0.07844175958174418	0.02029851310946831	3.864409139660321	0.01448526176983063	0.28189234501372307	26.54
PDPA_v2_signed	43	ok	0.0	20.620266183446482	0.16109582955817564	0.19202068540951436	128		0.09224879429379047	0.022638328279498025	4.074894274650742	0.01520506286491859	0.24630446053197214	62.55
PDPA_v1_semiconcave	44	ok	0.0	14.325426304083056	0.1390818087775054	0.1662802493599281	103	0.5239008194751457	0.10065782615329939	0.020545269524728047	4.89931884476613	0.015172664697739528	0.32316326809593865	24.62
PDPA_v2_signed	44	ok	10.0	14.953905708643878	0.11592174967940991	0.13851259794471005	129		0.0727950961758054	0.02231274480658469	3.262489523670029	0.014872707474698401	0.296339461894065	65.9
PDPA_v1_semiconcave	45	ok	0.0	14.628418385225558	0.12190348654354632	0.14574435903920863	120	0.5469367172199847	0.08518014527679252	0.021245875451338454	4.009255606900695	0.01394725698696516	0.31229564343663924	25.51
PDPA_v2_signed	45	ok	0.0	14.828220386441219	0.11675764083811983	0.13947995019848097	127		0.07761351296759808	0.02349400823233814	3.3035449804928385	0.014176884832518223	0.30563095364331877	66.35
PDPA_v1_semiconcave	46	ok	0.0	12.785941691899465	0.10835543806694461	0.1295442228274821	118	0.5334660408805496	0.0755615828320362	0.019782383906945214	3.8196398971666903	0.014183574702621132	0.28478769519103503	25.24
PDPA_v2_signed	46	ok	0.0	15.055968426253934	0.12652074307776415	0.15118023800239588	119		0.08675279829718252	0.022798834606722388	3.805141788765066	0.015126702456976662	0.2984101839707886	64.79
PDPA_v1_semiconcave	47	ok	0.0	13.55962705061349	0.13293752010405382	0.1588963427243985	102	0.5415173709272154	0.09017988791145687	0.021911452741370744	4.115650795768066	0.013835679043830757	0.302123572364429	25.97
PDPA_v2_signed	47	ok	0.0	15.850513512558054	0.12480719301226814	0.14910665583395574	127		0.08346565435640119	0.022784071112327258	3.663333648534933	0.015233889824977519	0.3158357442382812	63.66
PDPA_v1_semiconcave	48	ok	1.0	12.472347171005511	0.11656399225238796	0.13938936064917448	107	0.5418334635555535	0.08092483531052848	0.02074062849530409	3.9017542466878843	0.014663636688083166	0.32895735325483244	24.93
PDPA_v2_signed	48	ok	0.01	17.34081619238821	0.17000800188615892	0.20334118197674608	102		0.11993349860338959	0.02939816386813085	4.0796254875429065	0.020762291157083657	0.3642162730438526	63.85
PDPA_v1_semiconcave	49	ok	0.1	12.164482991818742	0.10765029196299772	0.12862808116980073	113	0.5418217014719181	0.07735151662366024	0.020155729205014933	3.8376937811019243	0.013930487799717721	0.26941894065203	25.23
PDPA_v2_signed	49	ok	0.1	15.554549678322733	0.12057790448312196	0.14416664837302348	129		0.07803101561074177	0.024614381113682846	3.1701392470666363	0.015305170454047105	0.32600796379313396	64.52
PDPA_v1_semiconcave	50	ok	0.1	11.077938843536401	0.10070853494124	0.12040110884788727	110	0.5240752025555891	0.07192956935339058	0.019873017633427616	3.619458840131088	0.014152500850674455	0.2899883655804386	24.77
PDPA_v2_signed	50	ok	0.1	21.040118590901898	0.1669850681817611	0.19939909559056126	126		0.10208862573028779	0.022742904219142098	4.488812191556543	0.01505719715730426	0.3462272228379879	64.69
PDPA_v1_semiconcave	51	ok	1.0	12.046505306173147	0.11154171579789951	0.1333456545218608	108	0.5123555632798792	0.07699051053579459	0.019675813375308736	3.91295185958667	0.014475204256256171	0.3297080452350818	24.82
PDPA_v2_signed	51	ok	10.0	16.142997935267825	0.12811903123228432	0.15330623061751208	126		0.07943856466400893	0.025085597077779735	3.1667001753119064	0.014692696790773077	0.3033105857376315	64.81
PDPA_v1_semiconcave	52	ok	0.1	14.980551043744534	0.13618682767040485	0.1628008862564817	110	0.5214253598957478	0.092527444855988	0.02125134025649523	4.3539580910765405	0.01450057214827539	0.3144951832767657	26.4
PDPA_v2_signed	52	ok	1.0	12.775872079625255	0.101395810155756	0.12123007506663361	126		0.06289005716021351	0.02192583555013828	2.8683083486785015	0.013188823612867669	0.2735694506751842	65.14
PDPA_v1_semiconcave	53	ok	10.0	13.860953879070937	0.11178188612153982	0.133617639958709	124	0.550319304165976	0.08157514537462723	0.01902805693291265	4.287098029096574	0.013449968450514516	0.32094213987630826	26.03
PDPA_v2_signed	53	ok	1.0	12.279966159582598	0.08647863492663801	0.10354733997244822	142		0.05503055251822609	0.021624886967169337	2.5447787358043934	0.013214341021509143	0.3210666645442416	63.47
PDPA_v1_semiconcave	54	ok	0.1	12.379438331355532	0.11569568533977133	0.1383345667917751	107	0.5178192126323475	0.07982227080337095	0.021346236852573114	3.739407154275487	0.015368913340685932	0.3089684104537023	25.74
PDPA_v2_signed	54	ok	0.1	14.862274150380351	0.11259298598772993	0.13470002778124843	132		0.07321812902846472	0.022515242537014594	3.2519360565668185	0.014010739271268014	0.226064195671449	65.37
PDPA_v1_semiconcave	55	ok	0.1	11.271294725280683	0.10533920304000638	0.12589907609014328	107	0.5113814246680614	0.07424487863723583	0.02231734355475413	3.326779392676414	0.01451117207261284	0.280327985928107	25.18
PDPA_v2_signed	55	ok	1.0	12.131664033770056	0.09332049256746197	0.11175166752634028	130		0.060169721368505284	0.021188870121406495	2.839685222654585	0.013542100346753124	0.3041872449665919	65.17
PDPA_v1_semiconcave	56	ok	0.1	13.22240660216072	0.11111266052235899	0.13282896015146342	119	0.5701405083602539	0.07954602692279625	0.01983113182172923	4.0111692886654415	0.013842615994350537	0.3183039510246478	25.9
PDPA_v2_signed	56	ok	0.1	10.901268293607101	0.08791345398070242	0.10526104308146338	124		0.055418480467771626	0.02225246789492275	2.4904419918482943	0.013705332009014167	0.2694574915866601	64.38
